iter	Passed	Remaining
0	4	2231
1	8	2078
2	12	2012
3	15	1980
4	19	1966
5	23	1966
6	27	1952
7	31	1941
8	35	1950
9	40	1972
10	43	1952
11	47	1931
12	51	1914
13	55	1910
14	58	1896
15	62	1901
16	66	1888
17	72	1932
18	75	1918
19	79	1904
20	83	1904
21	88	1912
22	91	1905
23	95	1895
24	100	1909
25	105	1921
26	109	1910
27	112	1899
28	117	1912
29	121	1908
30	125	1899
31	129	1892
32	133	1895
33	138	1893
34	141	1883
35	145	1879
36	149	1870
37	155	1885
38	158	1876
39	163	1876
40	166	1868
41	170	1864
42	174	1857
43	179	1861
44	183	1856
45	187	1851
46	192	1853
47	197	1860
48	202	1867
49	207	1864
50	212	1869
51	219	1887
52	224	1890
53	227	1883
54	232	1877
55	236	1878
56	241	1876
57	245	1874
58	250	1875
59	255	1873
60	259	1868
61	263	1861
62	269	1868
63	273	1864
64	277	1858
65	281	1850
66	286	1850
67	290	1847
68	294	1839
69	298	1834
70	302	1827
71	306	1819
72	309	1811
73	313	1803
74	317	1798
75	321	1790
76	324	1783
77	328	1777
78	332	1774
79	336	1767
80	340	1759
81	343	1751
82	348	1752
83	352	1746
84	356	1739
85	360	1733
86	364	1731
87	368	1725
88	372	1718
89	376	1715
90	380	1710
91	384	1703
92	387	1697
93	391	1690
94	396	1691
95	400	1685
96	405	1683
97	409	1680
98	413	1676
99	417	1669
100	420	1663
101	425	1661
102	438	1691
103	442	1684
104	446	1679
105	450	1674
106	454	1669
107	458	1662
108	462	1660
109	466	1653
110	470	1648
111	473	1641
112	478	1637
113	482	1632
114	486	1627
115	489	1621
116	493	1615
117	497	1609
118	501	1605
119	506	1604
120	512	1604
121	518	1605
122	523	1605
123	530	1607
124	536	1610
125	542	1609
126	547	1607
127	550	1601
128	555	1596
129	560	1596
130	564	1590
131	568	1584
132	572	1578
133	575	1572
134	580	1568
135	583	1562
136	587	1556
137	593	1556
138	597	1552
139	602	1548
140	606	1543
141	611	1542
142	616	1537
143	620	1534
144	624	1528
145	628	1524
146	632	1519
147	636	1513
148	639	1507
149	644	1503
150	647	1497
151	652	1493
152	656	1488
153	660	1483
154	663	1477
155	667	1471
156	671	1466
157	676	1463
158	680	1459
159	685	1456
160	692	1457
161	698	1456
162	702	1451
163	707	1449
164	712	1446
165	716	1441
166	721	1439
167	726	1436
168	731	1432
169	735	1428
170	740	1424
171	745	1420
172	748	1415
173	752	1409
174	757	1406
175	761	1401
176	764	1395
177	768	1390
178	773	1387
179	777	1382
180	781	1376
181	784	1370
182	791	1370
183	794	1364
184	798	1359
185	802	1354
186	806	1350
187	810	1345
188	814	1340
189	819	1337
190	825	1334
191	829	1331
192	833	1326
193	838	1322
194	842	1317
195	846	1313
196	850	1308
197	855	1304
198	859	1299
199	863	1295
200	867	1290
201	872	1286
202	875	1281
203	879	1276
204	883	1270
205	887	1267
206	892	1263
207	896	1258
208	900	1253
209	904	1248
210	908	1244
211	912	1238
212	915	1234
213	920	1229
214	923	1224
215	927	1219
216	931	1214
217	935	1209
218	939	1205
219	943	1200
220	946	1195
221	950	1190
